ϵ (Epsilon),Model Type,Augmentation,Train ASR,Validation ASR,Test ASR
1/255,Normal,No,5.51%,17.24%,17.25%
1/256,Contrastive,No,3.20%,15.97%,15.94%
1/257,Normal,Yes,4.72%,11.17%,11.19%
1/258,Contrastive,Yes,7.54%,11.58%,11.58%
1/259,Adversarial,No,0.01%,5.25%,5.25%
1/260,Adversarial,Yes,1.27%,3.64%,3.65%
2/255,Normal,No,24.39%,37.77%,37.69%
2/256,Contrastive,No,19.47%,34.71%,34.72%
2/257,Normal,Yes,18.24%,26.51%,26.54%
2/258,Contrastive,Yes,21.78%,27.01%,26.95%
2/259,Adversarial,No,0.03%,10.87%,10.85%
2/260,Adversarial,Yes,2.92%,7.76%,7.77%
4/255,Normal,No,68.74%,71.08%,71.05%
4/256,Contrastive,No,63.32%,66.97%,67.08%
4/257,Normal,Yes,55.61%,57.76%,57.72%
4/258,Contrastive,Yes,54.78%,55.53%,55.56%
4/259,Adversarial,No,0.15%,22.18%,22.18%
4/260,Adversarial,Yes,7.85%,17.46%,17.41%
8/255,Normal,No,94.49%,94.20%,94.23%
8/256,Contrastive,No,93.62%,92.84%,92.86%
8/257,Normal,Yes,89.91%,88.83%,88.73%
8/258,Contrastive,Yes,86.41%,85.62%,85.49%
8/259,Adversarial,No,3.91%,45.20%,45.20%
8/260,Adversarial,Yes,24.25%,36.29%,36.29%
16/255,Normal,No,98.63%,98.38%,98.44%
16/256,Contrastive,No,99.27%,99.24%,99.27%
16/257,Normal,Yes,97.73%,97.09%,97.07%
16/258,Contrastive,Yes,96.18%,95.14%,95.35%
16/259,Adversarial,No,30.46%,65.10%,65.36%
16/260,Adversarial,Yes,47.75%,56.59%,56.75%
